codigo;descricao;criterio_num;criterio_label;peso_pct;observacao;linha_cf
13;Salario;2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2322
23;"Doações, Contribuições e Patrocínios";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2398
24;Estagiários;2;"2 — Homem-hora (HH)";100;"Estagiários → HH";R2404
25;"Despesas com Cartório";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2416
26;"Manutenção e Conservação";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2377
27;"Despesas de Assessoria/Consultoria";1;"1 — Qty produzida";100;"Coluna E CUSTEIO FABRIL R2369";R2369
28;"Despesas Assessoria Jurídica";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2392
29;"Energia Elétrica";7;"7 — Energia (kWh)";100;"EE: na planilha redistribui 7+3+8; use 7 ou divida valor no CSV";R2363
30;"Despesas com Copa, Cozinha e Refeitório";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2376
44;"Despesas com Material de Limpeza e Higiene";1;"1 — Qty produzida";100;"Coluna E CUSTEIO FABRIL R2373";R2373
45;"Despesas com Material de Segurança e EPI's";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2387
46;"Despesas com Brindes";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2394
47;"Mensalidades, Anuidades e Contribuições";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2406
48;"Serviços Contábeis";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2400
49;"Serviços c/ Segurança Medicina do Trabalho";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2407
59;"Despesas com Autorização de Uso";1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2381
105;Uniformes;1;"1 — Qty produzida";100;"Adm: rateio na planilha via % total DRE; critério dominante sugerido.";R2395
817;"GASTOS COM PESSOAL  EM 2025";2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2317
818;Remuneração;2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2319
819;"Pró-Labore/Honorários da Diretoria";1;"1 — Qty produzida";100;"Pró-labore diretoria → overhead adm (qty)";R2320
820;Salários;2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2321
823;"Encargos Sociais";2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2324
824;"Previdência Social";2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2325
825;FGTS;2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2326
826;Benefícios;2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2327
828;"Plano de Assistência Médica";2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2328
829;"Plano Odontológico";2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2329
830;"Vale Transporte";2;"2 — Homem-hora (HH)";100;"Folha: após Pasta 9 a maior parte vai para Produção (HH). Sistema ainda sem Pasta 9 → use crit. 2.";R2330
