ItemCode	validFor	frozenFor
41000011	Y	N
40500013	Y	N
40500014	Y	N
40500018	Y	N
40500020	Y	N
40500023	Y	N
40500025	Y	N
40500027	Y	N
40500028	Y	N
40500039	Y	N
40500042	Y	N
40500047	Y	N
40500049	Y	N
40500050	Y	N
41000003	Y	N
41000004	Y	N
41000006	Y	N
41000007	Y	N
41000008	Y	N
41000012	Y	N
41000019	Y	N
41000021	Y	N
41000023	Y	N
41000024	Y	N
41000025	Y	N
41000026	Y	N
41000027	Y	N
41000029	Y	N
41000031	Y	N
41000033	Y	N
41000038	Y	N
41000039	Y	N
41000042	Y	N
41000043	Y	N
41000044	Y	N
41000045	Y	N
41000047	Y	N
41000053	Y	N
41000054	Y	N
41000055	Y	N
41000058	Y	N
41000060	Y	N
41000061	Y	N
41000063	Y	N
41000072	Y	N
41000073	Y	N
41000076	Y	N
41500001	Y	N
41500005	Y	N
41500007	Y	N
41500011	Y	N
41500012	Y	N
41500013	Y	N
41500014	Y	N
41500015	Y	N
41500018	Y	N
41500021	Y	N
41500022	Y	N
43000007	Y	N
43000013	Y	N
