relative_path;has_direct_registrar_alteracao;instantiated_repositories;repos_mutating_without_log;repos_unknown_class
app/adms/Controllers/accessLevels/AccessLevelPageSync.php;0;;;
app/adms/Controllers/accessLevels/CreateAccessLevel.php;0;AccessLevelsRepository|LogsRepository;;
app/adms/Controllers/accessLevels/DeleteAccessLevel.php;0;AccessLevelsRepository|LogsRepository;;
app/adms/Controllers/accessLevels/ImportAccessLevels.php;0;AccessLevelsRepository;;
app/adms/Controllers/accessLevels/ListAccessLevels.php;0;AccessLevelsRepository|MenuPermissionUserRepository;;
app/adms/Controllers/accessLevels/UpdateAccessLevel.php;0;AccessLevelsRepository|LogsRepository;;
app/adms/Controllers/accessLevels/UpdateUserAccessLevels.php;0;UsersRepository|UsersAccessLevelsRepository|LogsRepository;UsersAccessLevelsRepository;
app/adms/Controllers/accessLevels/ViewAccessLevel.php;0;AccessLevelsRepository|LogsRepository;;
app/adms/Controllers/accountsPlan/CreateAccountPlan.php;0;AccountPlanRepository;;
app/adms/Controllers/accountsPlan/DeleteAccountPlan.php;0;AccountPlanRepository;;
app/adms/Controllers/accountsPlan/ListAccountsPlan.php;0;AccountPlanRepository;;
app/adms/Controllers/accountsPlan/UpdateAccountPlan.php;0;AccountPlanRepository;;
app/adms/Controllers/accountsPlan/ViewAccountPlan.php;0;AccountPlanRepository;;
app/adms/Controllers/analytics/PeopleAnalytics.php;0;UsersRepository|EmploymentHistoryRepository|DepartmentsRepository|PositionsRepository;EmploymentHistoryRepository;
app/adms/Controllers/analytics/PeopleReports.php;0;;;
app/adms/Controllers/banks/CreateBank.php;0;BanksRepository|LogsRepository;;
app/adms/Controllers/banks/DeleteBank.php;0;BanksRepository|LogsRepository;;
app/adms/Controllers/banks/ListBanks.php;0;BanksRepository|MenuPermissionUserRepository;;
app/adms/Controllers/banks/ListMovBetweenAccounts.php;0;MovBetweenAccountsRepository;MovBetweenAccountsRepository;
app/adms/Controllers/banks/MovBetweenAccounts.php;0;MovBetweenAccountsRepository;MovBetweenAccountsRepository;
app/adms/Controllers/banks/UpdateBank.php;0;BanksRepository|LogsRepository;;
app/adms/Controllers/banks/UpdateMovBetweenAccounts.php;0;MovBetweenAccountsRepository|LogsRepository;MovBetweenAccountsRepository;
app/adms/Controllers/banks/ViewBank.php;0;BanksRepository|LogsRepository;;
app/adms/Controllers/banks/ViewTransfer.php;0;MovBetweenAccountsRepository|LogsRepository;MovBetweenAccountsRepository;
app/adms/Controllers/branches/CreateBranch.php;0;BranchesRepository|LogsRepository;;
app/adms/Controllers/branches/DeleteBranch.php;0;BranchesRepository|LogsRepository;;
app/adms/Controllers/branches/ListBranches.php;0;BranchesRepository;;
app/adms/Controllers/branches/UpdateBranch.php;0;BranchesRepository|LogsRepository;;
app/adms/Controllers/branches/ViewBranch.php;0;BranchesRepository|LogsRepository;;
app/adms/Controllers/companyEvents/CompanyEventReport.php;0;CompanyEventsRepository|ButtonPermissionUserRepository;;
app/adms/Controllers/companyEvents/CompanyEventsMonth.php;0;CompanyEventsRepository;;
app/adms/Controllers/companyEvents/CompanyEventsSearchUsers.php;0;CompanyEventsRepository|ButtonPermissionUserRepository|UsersRepository;;
app/adms/Controllers/companyEvents/CreateCompanyEvent.php;0;DepartmentsRepository|CompanyEventsRepository;;
app/adms/Controllers/companyEvents/DeleteCompanyEvent.php;0;CompanyEventsRepository;;
