repository_class;relative_path;has_registrar_alteracao;has_mutating_sql;gap_mutating_without_log;infra_log_tables
AccessLevelsPagesRepository;app/adms/Models/Repository/AccessLevelsPagesRepository.php;0;1;1;0
AccessLevelsRepository;app/adms/Models/Repository/AccessLevelsRepository.php;1;1;0;0
AccountPlanRepository;app/adms/Models/Repository/AccountPlanRepository.php;1;1;0;0
AdmsEmailConfigRepository;app/adms/Models/Repository/AdmsEmailConfigRepository.php;1;1;0;0
AdmsLogSettingsRepository;app/adms/Models/Repository/AdmsLogSettingsRepository.php;1;1;0;0
AdmsMcpApiConfigRepository;app/adms/Models/Repository/AdmsMcpApiConfigRepository.php;1;1;0;0
AdmsPasswordPolicyRepository;app/adms/Models/Repository/AdmsPasswordPolicyRepository.php;0;0;0;0
AdmsSapApiConfigRepository;app/adms/Models/Repository/AdmsSapApiConfigRepository.php;1;1;0;0
AdmsSessionsRepository;app/adms/Models/Repository/AdmsSessionsRepository.php;0;1;1;0
AdmsSlowRequestProfileRepository;app/adms/Models/Repository/AdmsSlowRequestProfileRepository.php;0;1;1;0
AdmsWhatsAppConfigRepository;app/adms/Models/Repository/AdmsWhatsAppConfigRepository.php;1;1;0;0
BanksRepository;app/adms/Models/Repository/BanksRepository.php;1;1;0;0
BookingAdditionalRequestsRepository;app/adms/Models/Repository/BookingAdditionalRequestsRepository.php;1;1;0;0
BookingParticipantsRepository;app/adms/Models/Repository/BookingParticipantsRepository.php;1;1;0;0
BookingWaitlistRepository;app/adms/Models/Repository/BookingWaitlistRepository.php;1;1;0;0
BranchesRepository;app/adms/Models/Repository/BranchesRepository.php;1;1;0;0
ButtonPermissionUserRepository;app/adms/Models/Repository/ButtonPermissionUserRepository.php;0;0;0;0
CalendarRepository;app/adms/Models/Repository/CalendarRepository.php;1;1;0;0
CompanyEventsRepository;app/adms/Models/Repository/CompanyEventsRepository.php;1;1;0;0
CompetenciesRepository;app/adms/Models/Repository/CompetenciesRepository.php;0;1;1;0
CompetencyMatrixRepository;app/adms/Models/Repository/CompetencyMatrixRepository.php;0;1;1;0
CostCentersRepository;app/adms/Models/Repository/CostCentersRepository.php;1;1;0;0
CostCenterSummaryRepository;app/adms/Models/Repository/CostCenterSummaryRepository.php;0;0;0;0
CrmActivitiesRepository;app/adms/Models/Repository/CrmActivitiesRepository.php;0;1;1;0
