erp_code;description;is_pa;inv_item_id;batches;mp_lines;mae_lines;hh_per_batch;hm_per_batch;power_kw_route;production_line;energy_class;complexity;driver_6;share_criterion_6_pct;pendencias;edit_url
40500055;"ACIDO HIALURONICO 65MG FR X 30 CAPSULAS";SIM;4285;1;5;6;0.0450;0.0233;0;;;media;110.0000;1.4077;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/4285
40500069;"ACIDO HIALURONICO FR X 30 CAPSULAS SCAVONE";SIM;765;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/765
43000123;"ANIMATIV CAFEINA FR X 60 COMP";SIM;3703;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3703
43000122;"ANIMATIV PROBIOTICO NFCM CT BL AL PLAST X 7";SIM;4145;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4145
43000001;"ARTROGEN DUO UCII 11 G PO CT SACHE LAM X 30";SIM;4045;56;10;4;0.0312;0.0100;0;;OTHER;baixa;1546.4026;19.7897;sem_linha;http://localhost/administrativo/update-inventory-item/4045
43000127;"ARTROGEN MSM UCII PO SCH X 2";SIM;3748;6;8;3;0.0276;0.0080;0;;;media;660.0000;8.4462;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/3748
43000129;"ARTROGEN MSM UCII PO SCH X 30";SIM;3760;10;8;4;0.0360;0.0100;0;;;media;1200.0000;15.3567;sem_linha|sem_classe_energia;http://localhost/administrativo/update-inventory-item/3760
43000045;"ARTROGEN PLUS D PO SCH X 2";SIM;;9;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
43000046;"ARTROGEN PLUS D PO SCH X 30";SIM;;28;0;0;0;0;0;;;;0.0000;0.0000;sem_cadastro|driver_6_zero;
41000118;"BETA GLUCANA PLUS 250 MG FR X 60 CAPSULAS SOFTGEL";SIM;4349;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4349
43000067;"BIO GG CT BL AL PLAST X 2 AG";SIM;2890;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2890
43000071;"BIO GG CT BL AL PLAST X 30";SIM;2926;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2926
43000068;"BIO GG CT BL AL PLAST X 7";SIM;2892;1;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/2892
43000072;"BIO GG STICK X 2 AG";SIM;3767;5;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3767
43000074;"BIO GG STICK X 30 OR";SIM;4234;22;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4234
43000073;"BIO GG STICK X 7 OR";SIM;4037;6;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4037
43000101;"BIOFEMINA CT BL AL PLAST X 10";SIM;3056;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3056
43000100;"BIOFEMINA CT BL AL PLAST X 2 AG";SIM;3041;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3041
43000102;"BIOFEMINA CT BL AL PLAST X 30";SIM;3091;10;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3091
41500025;"BIOTINA 45 MCG FR X 60 COMP";SIM;4204;4;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4204
43000006;"CALCIO D GF 1500MG COM FR PET OPC X 60";SIM;3191;2;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3191
41000107;"CENTROVIT A-Z FR X 60 CAPSULAS SOFTGEL";SIM;3924;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/3924
41000110;"CENTROVIT HAIR CAPSULAS SOFTGEL CT BL AL/PLAS X 60";SIM;4329;3;0;0;0;0;0;;;media;0.0000;0.0000;sem_bom_mp_mae|sem_rota_hh_hm|sem_linha|sem_classe_energia|driver_6_zero;http://localhost/administrativo/update-inventory-item/4329
